Tickersymbol,YahooTicker,YahooExchange,CompanyName,size_category,Exchange
GETI B,GETI-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
GRNG,GRNG.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HM B,HM-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
SHB A,SHB-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
SHB B,SHB-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HEM,HEM,US Markets (default),Yahoo Finance,Large Cap,
HEXA B,HEXA-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HPOL B,HPOL-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HMS,HMS,US Markets (default),Yahoo Finance,Large Cap,
HOLM A,HOLM-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HOLM B,HOLM-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HUFV A,HUFV-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HUSQ A,HUSQ-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
HUSQ B,HUSQ-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
INDU A,INDU-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
INDU C,INDU-C.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
INDT,INDT.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
IPCO,IPCO.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
INVE A,INVE-A.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
INVE B,INVE-B.ST,Stockholm Stock Exchange,Yahoo Finance,Large Cap,
JM,JM,US Markets (default),Yahoo Finance,Large Cap,
